adam_epsilon,before_init_mem_cpu,before_init_mem_gpu,dataset_text_field,epoch,evaluation_strategy,gradient_accumulation_steps,gradient_checkpointing,include_tokens_per_second,init_mem_cpu_alloc_delta,init_mem_cpu_peaked_delta,init_mem_gpu_alloc_delta,init_mem_gpu_peaked_delta,learning_rate,logging_steps,logging_strategy,lr_scheduler_type,max_seq_len,max_steps,model_name_or_path,num_gpus,num_train_epochs,output_dir,packing,per_device_train_batch_size,response_template,save_strategy,skip_memory_metrics,torch_dtype,train_loss,train_mem_cpu_alloc_delta,train_mem_cpu_peaked_delta,train_mem_gpu_alloc_delta,train_mem_gpu_peaked_delta,train_runtime,train_samples_per_second,train_steps_per_second,train_tokens_per_second,training_data_path,use_flash_attn,warmup_steps,weight_decay,acceleration_framework_config_file
1e-8,4791513088.0,512.0,output,0.06,no,1,True,True,0.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_0/hf,False,8,"
### Response:",no,False,bfloat16,0.9688533699512482,1002246144.0,3834404864.0,6621844480.0,2319302144.0,154.3942,20.726,0.648,1445.65,./moeshard/data/cache_all.json,True,10,0.01,
1e-8,4647235584.0,512.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_1/hf,False,8,"
### Response:",no,False,bfloat16,0.9680111801624298,1021943808.0,3814924288.0,6628687360.0,2319360512.0,155.3867,20.594,0.644,1436.417,./moeshard/data/cache_all.json,True,10,0.01,
1e-8,10745405440.0,6043730432.0,output,0.06,no,1,True,True,20480.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_2/hf,False,8,"
### Response:",no,False,bfloat16,0.9778651320934295,-5007986688.0,5319225344.0,12660255232.0,6926167552.0,88.2901,36.244,1.133,2528.028,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-sample-configuration.yaml
1e-8,10744135680.0,6043730432.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_3/hf,False,8,"
### Response:",no,False,bfloat16,0.9779439675807953,-5008998400.0,5322702848.0,12660255232.0,6926167552.0,82.4441,38.814,1.213,2707.289,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-sample-configuration.yaml
1e-8,4713250816.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_4/hf,False,8,"
### Response:",no,False,bfloat16,0.9723611682653427,1099444224.0,12288.0,6626960896.0,4311238144.0,110.9535,28.841,0.901,2011.653,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-sample-configuration.yaml
1e-8,4713545728.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_5/hf,False,8,"
### Response:",no,False,bfloat16,0.9723932790756226,1035018240.0,4096.0,6625205248.0,4310725120.0,95.6009,33.473,1.046,2334.707,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-sample-configuration.yaml
1e-8,4621406208.0,1514930688.0,output,0.06,no,1,True,True,32768.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_6/hf,False,8,"
### Response:",no,False,bfloat16,0.966615087389946,1093586944.0,28672.0,3771146752.0,3832064000.0,100.5529,31.824,0.995,2219.727,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-sample-configuration.yaml
1e-8,4624826368.0,1514930688.0,output,0.06,no,1,True,True,28672.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_7/hf,False,8,"
### Response:",no,False,bfloat16,0.9667175161838532,1034645504.0,4096.0,3770675200.0,3833790976.0,98.2997,32.554,1.017,2270.608,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-sample-configuration.yaml
1e-8,10746974208.0,6043730432.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_8/hf,False,8,"
### Response:",no,False,bfloat16,0.9779991048574448,-5008142336.0,5319782400.0,12660720128.0,6611559936.0,83.7425,38.212,1.194,1850.911,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-sample-configuration.yaml
1e-8,10751930368.0,6043730432.0,output,0.06,no,1,True,True,16384.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_9/hf,False,8,"
### Response:",no,False,bfloat16,0.9781109935045242,-5001699328.0,5313990656.0,12662581248.0,6611630080.0,75.4694,42.401,1.325,2053.813,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-sample-configuration.yaml
1e-8,10762739712.0,6043730432.0,output,0.06,no,1,True,True,32768.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_10/hf,False,8,"
### Response:",no,False,bfloat16,0.9780048269033432,-5006168064.0,5319680000.0,12661847552.0,6611315712.0,75.7585,42.24,1.32,2045.976,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-foak-sample-configuration.yaml
1e-8,10752516096.0,6043730432.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_11/hf,False,8,"
### Response:",no,False,bfloat16,0.9778871214389802,-4999561216.0,5310103552.0,12661847552.0,6611315712.0,82.0105,39.019,1.219,1890.003,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-foak-sample-configuration.yaml
1e-8,4717391872.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_12/hf,False,8,"
### Response:",no,False,bfloat16,0.9729409772157669,1030508544.0,4096.0,6622841856.0,3716798976.0,90.8973,35.205,1.1,1705.222,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-sample-configuration.yaml
1e-8,4713652224.0,3023831552.0,output,0.06,no,1,True,True,0.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_13/hf,False,8,"
### Response:",no,False,bfloat16,0.9726112896203994,1030938624.0,4096.0,6621579264.0,3718708224.0,91.9597,34.798,1.087,1685.521,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-sample-configuration.yaml
1e-8,4725096448.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_14/hf,False,8,"
### Response:",no,False,bfloat16,0.9724957638978958,1030729728.0,4096.0,6620785152.0,3665411584.0,89.3947,35.796,1.119,1733.883,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-foak-sample-configuration.yaml
1e-8,4719656960.0,3023831552.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_15/hf,False,8,"
### Response:",no,False,bfloat16,0.9725783824920654,1033166848.0,4096.0,6621209600.0,3665190400.0,89.9272,35.584,1.112,1723.617,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-foak-sample-configuration.yaml
1e-8,4622749696.0,1514930688.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_16/hf,False,8,"
### Response:",no,False,bfloat16,0.9666163015365601,1035968512.0,4096.0,3779670016.0,2247207424.0,92.5333,34.582,1.081,1675.073,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-sample-configuration.yaml
1e-8,4625494016.0,1514930688.0,output,0.06,no,1,True,True,20480.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_17/hf,False,8,"
### Response:",no,False,bfloat16,0.9667527490854263,1035239424.0,4096.0,3778245632.0,2244780544.0,92.1797,34.715,1.085,1681.499,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-sample-configuration.yaml
1e-8,4624564224.0,1514930688.0,output,0.06,no,1,True,True,45056.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_18/hf,False,8,"
### Response:",no,False,bfloat16,0.9664201235771179,1031872512.0,4096.0,3781547008.0,2192712192.0,89.8529,35.614,1.113,1725.042,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-foak-sample-configuration.yaml
1e-8,4630347776.0,1514930688.0,output,0.06,no,1,True,True,12288.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-granite/granite-3.0-3b-a800m-instruct,4,1,./moeshard/exp_19/hf,False,8,"
### Response:",no,False,bfloat16,0.9668118774890899,1032278016.0,4096.0,3779750400.0,2195231232.0,90.2598,35.453,1.108,1717.265,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-foak-sample-configuration.yaml
1e-8,17114157056.0,512.0,output,0.06,no,1,True,True,32768.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_20/hf,False,8,"
### Response:",no,False,bfloat16,0.8920374232530593,-11424968704.0,11429748736.0,12843918848.0,3185490432.0,321.9304,9.94,0.311,688.348,./moeshard/data/cache_all.json,True,10,0.01,
1e-8,17052016640.0,512.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_21/hf,False,8,"
### Response:",no,False,bfloat16,0.8919267785549164,-11394363392.0,11400077312.0,12847916544.0,3185490432.0,320.4808,9.985,0.312,691.461,./moeshard/data/cache_all.json,True,10,0.01,
1e-8,5454802944.0,11835556352.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_22/hf,False,8,"
### Response:",no,False,bfloat16,0.8940718054771424,354500608.0,12288.0,24718721024.0,12546979328.0,108.9243,29.378,0.918,2034.44,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-sample-configuration.yaml
1e-8,5452509184.0,11835556352.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_23/hf,False,8,"
### Response:",no,False,bfloat16,0.8939898246526718,281956352.0,4096.0,24718721024.0,12546979328.0,116.7213,27.416,0.857,1898.539,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-sample-configuration.yaml
1e-8,5431525376.0,5858673152.0,output,0.06,no,1,True,True,12288.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_24/hf,False,8,"
### Response:",no,False,bfloat16,0.8930789017677307,280113152.0,4096.0,12785083904.0,6706168320.0,125.1139,25.577,0.799,1771.187,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-sample-configuration.yaml
1e-8,5437603840.0,5858673152.0,output,0.06,no,1,True,True,16384.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_25/hf,False,8,"
### Response:",no,False,bfloat16,0.8931433582305908,277819392.0,4096.0,12784293888.0,6703898624.0,123.2533,25.963,0.811,1797.924,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-sample-configuration.yaml
1e-8,,,output,,no,1,True,True,,,,,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_26/hf,False,8,"
### Response:",no,False,bfloat16,,,,,,,,,,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-sample-configuration.yaml
1e-8,,,output,,no,1,True,True,,,,,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_27/hf,False,8,"
### Response:",no,False,bfloat16,,,,,,,,,,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-sample-configuration.yaml
1e-8,5450780672.0,11835556352.0,output,0.06,no,1,True,True,36864.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_28/hf,False,8,"
### Response:",no,False,bfloat16,0.8940320914983749,351563776.0,4096.0,24722471936.0,12393792512.0,102.0042,31.371,0.98,1517.584,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-sample-configuration.yaml
1e-8,5447577600.0,11835556352.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_29/hf,False,8,"
### Response:",no,False,bfloat16,0.8940940976142884,283992064.0,4096.0,24722471936.0,12393792512.0,103.2336,30.998,0.969,1499.512,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-sample-configuration.yaml
1e-8,5459963904.0,11835556352.0,output,0.06,no,1,True,True,32768.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_30/hf,False,8,"
### Response:",no,False,bfloat16,0.8940206444263459,288153600.0,4096.0,24721445376.0,12396935168.0,104.103,30.739,0.961,1486.989,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-foak-sample-configuration.yaml
1e-8,5456424960.0,11835556352.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_31/hf,False,8,"
### Response:",no,False,bfloat16,0.8940014034509659,286109696.0,4096.0,24721445376.0,12396935168.0,99.58,32.135,1.004,1554.528,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep1-padding-free-foak-sample-configuration.yaml
1e-8,5429489664.0,5858673152.0,output,0.06,no,1,True,True,102400.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_32/hf,False,8,"
### Response:",no,False,bfloat16,0.8931182777881622,280584192.0,4096.0,12767665152.0,6427539456.0,118.5303,26.997,0.844,1305.996,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-sample-configuration.yaml
1e-8,5431709696.0,5858673152.0,output,0.06,no,1,True,True,40960.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_33/hf,False,8,"
### Response:",no,False,bfloat16,0.8932344496250153,280436736.0,4096.0,12768071168.0,6428425216.0,131.5549,24.324,0.76,1176.695,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-sample-configuration.yaml
1e-8,5437108224.0,5858673152.0,output,0.06,no,1,True,True,245760.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_34/hf,False,8,"
### Response:",no,False,bfloat16,0.8932769483327866,280064000.0,4096.0,12767671296.0,6427662336.0,113.9172,28.091,0.878,1358.881,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-foak-sample-configuration.yaml
1e-8,5433470976.0,5858673152.0,output,0.06,no,1,True,True,4096.0,0.0,0.0,0.0,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_35/hf,False,8,"
### Response:",no,False,bfloat16,0.8932380867004395,277651456.0,4096.0,12769649152.0,6427356672.0,114.9099,27.848,0.87,1347.143,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep2-padding-free-foak-sample-configuration.yaml
1e-8,,,output,,no,1,True,True,,,,,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_36/hf,False,8,"
### Response:",no,False,bfloat16,,,,,,,,,,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-sample-configuration.yaml
1e-8,,,output,,no,1,True,True,,,,,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_37/hf,False,8,"
### Response:",no,False,bfloat16,,,,,,,,,,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-sample-configuration.yaml
1e-8,,,output,,no,1,True,True,,,,,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_38/hf,False,8,"
### Response:",no,False,bfloat16,,,,,,,,,,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-foak-sample-configuration.yaml
1e-8,,,output,,no,1,True,True,,,,,5e-5,1,steps,linear,4096,100,ibm-research/moe-7b-1b-active-shared-experts,4,1,./moeshard/exp_39/hf,False,8,"
### Response:",no,False,bfloat16,,,,,,,,,,./moeshard/data/cache_all.json,True,10,0.01,/workspace/fms-acceleration/scripts/benchmarks/../../sample-configurations/moe-scattermoe-granite-ep4-padding-free-foak-sample-configuration.yaml
